Geographic code,Geographic name,Province or territory,Population 2016
L5L,L5L,Ontario,44860
L5M,L5M,Ontario,104868
L5N,L5N,Ontario,84829
L5R,L5R,Ontario,37126
L5S,L5S,Ontario,5
L5T,L5T,Ontario,5
L5V,L5V,Ontario,50821
L5W,L5W,Ontario,24871
L6A,L6A,Ontario,85794
L6B,L6B,Ontario,29411
L6C,L6C,Ontario,50929
L6E,L6E,Ontario,36356
L6G,L6G,Ontario,5370
L6H,L6H,Ontario,60913
L6J,L6J,Ontario,24673
L6K,L6K,Ontario,13009
L6L,L6L,Ontario,29742
L6M,L6M,Ontario,65493
L6P,L6P,Ontario,82182
L6R,L6R,Ontario,88002
L6S,L6S,Ontario,53308
L6T,L6T,Ontario,38451
L6V,L6V,Ontario,41853
L6W,L6W,Ontario,22128
L6X,L6X,Ontario,67070
L6Y,L6Y,Ontario,87654
L6Z,L6Z,Ontario,32749
L7A,L7A,Ontario,80236
L7B,L7B,Ontario,14863
L7C,L7C,Ontario,24632
L7E,L7E,Ontario,33934
L7G,L7G,Ontario,46057
L7J,L7J,Ontario,13634
L7K,L7K,Ontario,8231
L7L,L7L,Ontario,46761
L7M,L7M,Ontario,47925
L7N,L7N,Ontario,12972
L7P,L7P,Ontario,29700
L7R,L7R,Ontario,15866
L7S,L7S,Ontario,12191
L7T,L7T,Ontario,17728
L8E,L8E,Ontario,39398
L8G,L8G,Ontario,21547
L8H,L8H,Ontario,25892
L8J,L8J,Ontario,24381
L8K,L8K,Ontario,31449
L8L,L8L,Ontario,30825
L8M,L8M,Ontario,13533
L8N,L8N,Ontario,13819
L8P,L8P,Ontario,22734
L8R,L8R,Ontario,10817
L8S,L8S,Ontario,14311
L8T,L8T,Ontario,19042
L8V,L8V,Ontario,21207
L8W,L8W,Ontario,25793
L9A,L9A,Ontario,24904
L9B,L9B,Ontario,24033
L9C,L9C,Ontario,40155
L9E,L9E,Ontario,723
L9G,L9G,Ontario,23560
L9H,L9H,Ontario,31125
L9J,L9J,Ontario,596
L9K,L9K,Ontario,14264
L9L,L9L,Ontario,14897
L9M,L9M,Ontario,14825
L9N,L9N,Ontario,11533
L9P,L9P,Ontario,16814
L9R,L9R,Ontario,21313
L9S,L9S,Ontario,28567
L9T,L9T,Ontario,103839
L9V,L9V,Ontario,13643
L9W,L9W,Ontario,44867
L9Y,L9Y,Ontario,24766
L9Z,L9Z,Ontario,20647
M1B,M1B,Ontario,66108
M1C,M1C,Ontario,35626
M1E,M1E,Ontario,46943
M1G,M1G,Ontario,29690
M1H,M1H,Ontario,24383
M1J,M1J,Ontario,36699
M1K,M1K,Ontario,48434
M1L,M1L,Ontario,35081
M1M,M1M,Ontario,22913
M1N,M1N,Ontario,22136
M1P,M1P,Ontario,45571
M1R,M1R,Ontario,29858
M1S,M1S,Ontario,37769
M1T,M1T,Ontario,34588
M1V,M1V,Ontario,54680
M1W,M1W,Ontario,48471
M1X,M1X,Ontario,15097
M2H,M2H,Ontario,24497
M2J,M2J,Ontario,58293
M2K,M2K,Ontario,23852
M2L,M2L,Ontario,11717
M2M,M2M,Ontario,32320
M2N,M2N,Ontario,75897
M2P,M2P,Ontario,7843
M2R,M2R,Ontario,40792
M3A,M3A,Ontario,34615
M3B,M3B,Ontario,13324
M3C,M3C,Ontario,39153
M3H,M3H,Ontario,37011
M3J,M3J,Ontario,25473
M3K,M3K,Ontario,5997
M3L,M3L,Ontario,17339
M3M,M3M,Ontario,24046
M3N,M3N,Ontario,41958
M4A,M4A,Ontario,14443
M4B,M4B,Ontario,18628
M4C,M4C,Ontario,46866
M4E,M4E,Ontario,25044
M4G,M4G,Ontario,19076
M4H,M4H,Ontario,19688
M4J,M4J,Ontario,35738
M4K,M4K,Ontario,31583
M4L,M4L,Ontario,32640
M4M,M4M,Ontario,24689
M4N,M4N,Ontario,15330
M4P,M4P,Ontario,20039
M4R,M4R,Ontario,11394
M4S,M4S,Ontario,26506
M4T,M4T,Ontario,10463
M4V,M4V,Ontario,18241
M4W,M4W,Ontario,14561
M4X,M4X,Ontario,20822
M4Y,M4Y,Ontario,30472
M5A,M5A,Ontario,41078
M5B,M5B,Ontario,12785
M5C,M5C,Ontario,2951
M5E,M5E,Ontario,9118
M5G,M5G,Ontario,8423
M5H,M5H,Ontario,2005
M5J,M5J,Ontario,14545
M5K,M5K,Ontario,0
M5L,M5L,Ontario,0
M5M,M5M,Ontario,25975
M5N,M5N,Ontario,16610
M5P,M5P,Ontario,19423
M5R,M5R,Ontario,26496
M5S,M5S,Ontario,15372
M5T,M5T,Ontario,17748
M5V,M5V,Ontario,49195
M5W,M5W,Ontario,15
M5X,M5X,Ontario,10
M6A,M6A,Ontario,21048
M6B,M6B,Ontario,28522
M6C,M6C,Ontario,24596
M6E,M6E,Ontario,38041
M6G,M6G,Ontario,32086
M6H,M6H,Ontario,44950
M6J,M6J,Ontario,32684
M6K,M6K,Ontario,40957
M6L,M6L,Ontario,20616
M6M,M6M,Ontario,42434
M6N,M6N,Ontario,41243
M6P,M6P,Ontario,40035
M6R,M6R,Ontario,19857
M6S,M6S,Ontario,34299
M7A,M7A,Ontario,10
M7Y,M7Y,Ontario,10
M8V,M8V,Ontario,37975
M8W,M8W,Ontario,20674
M8X,M8X,Ontario,10787
M8Y,M8Y,Ontario,21299
M8Z,M8Z,Ontario,17038
M9A,M9A,Ontario,35594
M9B,M9B,Ontario,32400
M9C,M9C,Ontario,38291
M9L,M9L,Ontario,11950
M9M,M9M,Ontario,22263
M9N,M9N,Ontario,25074
M9P,M9P,Ontario,20874
M9R,M9R,Ontario,33743
M9V,M9V,Ontario,55959
M9W,M9W,Ontario,40684
N0A,N0A,Ontario,29853
N0B,N0B,Ontario,80222
N0C,N0C,Ontario,15438
N0E,N0E,Ontario,34772
N0G,N0G,Ontario,83818
N0H,N0H,Ontario,48330
N0J,N0J,Ontario,32428
N0K,N0K,Ontario,24378
N0L,N0L,Ontario,46908
N0M,N0M,Ontario,64764
N0N,N0N,Ontario,40649
N0P,N0P,Ontario,52190
N0R,N0R,Ontario,46403
N1A,N1A,Ontario,12000
N1C,N1C,Ontario,3829
N1E,N1E,Ontario,40591
N1G,N1G,Ontario,27330
N1H,N1H,Ontario,43789
N1K,N1K,Ontario,9266
N1L,N1L,Ontario,14311
N1M,N1M,Ontario,15998
N1P,N1P,Ontario,7594
N1R,N1R,Ontario,42210
N1S,N1S,Ontario,19510
N1T,N1T,Ontario,17670
N2A,N2A,Ontario,29858
N2B,N2B,Ontario,16501
N2C,N2C,Ontario,16111
N2E,N2E,Ontario,39149
N2G,N2G,Ontario,13407
N2H,N2H,Ontario,21058
N2J,N2J,Ontario,18659
N2K,N2K,Ontario,27253
N2L,N2L,Ontario,27758
N2M,N2M,Ontario,33221
N2N,N2N,Ontario,26490
N2P,N2P,Ontario,19975
N2R,N2R,Ontario,12302
N2T,N2T,Ontario,20701
N2V,N2V,Ontario,16900
N2Z,N2Z,Ontario,10856
N3A,N3A,Ontario,16123
N3B,N3B,Ontario,12418
N3C,N3C,Ontario,26662
N3E,N3E,Ontario,279
N3H,N3H,Ontario,21544
N3L,N3L,Ontario,14684
N3P,N3P,Ontario,8597
N3R,N3R,Ontario,34276
N3S,N3S,Ontario,25765
N3T,N3T,Ontario,34317
N3V,N3V,Ontario,1607
N3W,N3W,Ontario,13409
N3Y,N3Y,Ontario,22419
N4B,N4B,Ontario,7772
N4G,N4G,Ontario,19389
N4K,N4K,Ontario,28286
N4L,N4L,Ontario,8117
N4N,N4N,Ontario,9901
N4S,N4S,Ontario,32254
N4T,N4T,Ontario,10818
N4V,N4V,Ontario,2983
N4W,N4W,Ontario,11199
N4X,N4X,Ontario,9791
N4Z,N4Z,Ontario,2432
N5A,N5A,Ontario,31302
N5C,N5C,Ontario,14856
N5H,N5H,Ontario,15199
N5L,N5L,Ontario,2795
N5P,N5P,Ontario,19945
N5R,N5R,Ontario,27368
N5V,N5V,Ontario,30857
N5W,N5W,Ontario,23250
N5X,N5X,Ontario,32897
N5Y,N5Y,Ontario,34037
N5Z,N5Z,Ontario,23755
N6A,N6A,Ontario,11317
N6B,N6B,Ontario,10103
N6C,N6C,Ontario,30510
N6E,N6E,Ontario,27508
N6G,N6G,Ontario,40677
N6H,N6H,Ontario,40604
N6J,N6J,Ontario,26943
N6K,N6K,Ontario,34766
N6L,N6L,Ontario,3023
N6M,N6M,Ontario,5747
N6N,N6N,Ontario,671
N6P,N6P,Ontario,8796
N7A,N7A,Ontario,11720
N7G,N7G,Ontario,17880
N7L,N7L,Ontario,24724
N7M,N7M,Ontario,24479
N7S,N7S,Ontario,27879
N7T,N7T,Ontario,26347
N7V,N7V,Ontario,11877
N7W,N7W,Ontario,1935
N7X,N7X,Ontario,1094
N8A,N8A,Ontario,13975
N8H,N8H,Ontario,25905
N8M,N8M,Ontario,11110
N8N,N8N,Ontario,24162
N8P,N8P,Ontario,12195
N8R,N8R,Ontario,12085
N8S,N8S,Ontario,21819
N8T,N8T,Ontario,17658
N8W,N8W,Ontario,23796
N8X,N8X,Ontario,15575
N8Y,N8Y,Ontario,18935
N9A,N9A,Ontario,25160
N9B,N9B,Ontario,17804
N9C,N9C,Ontario,11484
N9E,N9E,Ontario,20688
N9G,N9G,Ontario,19787
N9H,N9H,Ontario,10227
N9J,N9J,Ontario,19358
N9K,N9K,Ontario,2761
N9V,N9V,Ontario,20208
N9Y,N9Y,Ontario,14814
P0A,P0A,Ontario,16481
P0B,P0B,Ontario,9138
P0C,P0C,Ontario,3834
P0E,P0E,Ontario,3149
P0G,P0G,Ontario,3119
P0H,P0H,Ontario,31187
P0J,P0J,Ontario,20848
P0K,P0K,Ontario,11374
P0L,P0L,Ontario,24896
P0M,P0M,Ontario,49750
P0N,P0N,Ontario,9420
P0P,P0P,Ontario,19461
P0R,P0R,Ontario,12479
P0S,P0S,Ontario,9869
P0T,P0T,Ontario,33027
P0V,P0V,Ontario,21722
P0W,P0W,Ontario,6410
P0X,P0X,Ontario,8133
P0Y,P0Y,Ontario,30
P1A,P1A,Ontario,16586
P1B,P1B,Ontario,32345
P1C,P1C,Ontario,3395
P1H,P1H,Ontario,16271
P1L,P1L,Ontario,16548
P1P,P1P,Ontario,10393
P2A,P2A,Ontario,12990
P2B,P2B,Ontario,9747
P2N,P2N,Ontario,7188
P3A,P3A,Ontario,24053
P3B,P3B,Ontario,15548
P3C,P3C,Ontario,16249
P3E,P3E,Ontario,27210
P3G,P3G,Ontario,4001
P3L,P3L,Ontario,8036
P3N,P3N,Ontario,8125
P3P,P3P,Ontario,15468
P3Y,P3Y,Ontario,7455
P4N,P4N,Ontario,24575
P4P,P4P,Ontario,3367
P4R,P4R,Ontario,4847
P5A,P5A,Ontario,10741
P5E,P5E,Ontario,5229
P5N,P5N,Ontario,8467
P6A,P6A,Ontario,34720
P6B,P6B,Ontario,22847
P6C,P6C,Ontario,19322
P7A,P7A,Ontario,28418
P7B,P7B,Ontario,21917
P7C,P7C,Ontario,21880
P7E,P7E,Ontario,20997
P7G,P7G,Ontario,12432
P7J,P7J,Ontario,5130
P7K,P7K,Ontario,6521
P7L,P7L,Ontario,1942
P8N,P8N,Ontario,10048
P8T,P8T,Ontario,5002
P9A,P9A,Ontario,10651
P9N,P9N,Ontario,14009
R0A,R0A,Manitoba,46213
R0B,R0B,Manitoba,48048
R0C,R0C,Manitoba,52620
R0E,R0E,Manitoba,46836
R0G,R0G,Manitoba,44069
R0H,R0H,Manitoba,16938
R0J,R0J,Manitoba,27342
R0K,R0K,Manitoba,27772
R0L,R0L,Manitoba,26815
R0M,R0M,Manitoba,19864
R1A,R1A,Manitoba,21390
R1B,R1B,Manitoba,252
R1C,R1C,Manitoba,3714
R1N,R1N,Manitoba,16788
R2C,R2C,Manitoba,33556
R2E,R2E,Manitoba,9256
R2G,R2G,Manitoba,33030
R2H,R2H,Manitoba,15914
R2J,R2J,Manitoba,26499
R2K,R2K,Manitoba,33413
R2L,R2L,Manitoba,14818
R2M,R2M,Manitoba,38195
R2N,R2N,Manitoba,30306
R2P,R2P,Manitoba,32557
R2R,R2R,Manitoba,21377
R2V,R2V,Manitoba,35235
R2W,R2W,Manitoba,28874
R2X,R2X,Manitoba,19149
R2Y,R2Y,Manitoba,19887
R3A,R3A,Manitoba,4711
R3B,R3B,Manitoba,12963
R3C,R3C,Manitoba,14364
R3E,R3E,Manitoba,19703
R3G,R3G,Manitoba,25490
R3H,R3H,Manitoba,106
R3J,R3J,Manitoba,27636
R3K,R3K,Manitoba,12444
R3L,R3L,Manitoba,20078
R3M,R3M,Manitoba,22582
R3N,R3N,Manitoba,16847
R3P,R3P,Manitoba,19605
R3R,R3R,Manitoba,24684
R3S,R3S,Manitoba,538
R3T,R3T,Manitoba,48009
R3V,R3V,Manitoba,6400
R3W,R3W,Manitoba,9845
R3X,R3X,Manitoba,17962
R3Y,R3Y,Manitoba,21896
R4A,R4A,Manitoba,4520
R4G,R4G,Manitoba,1174
R4H,R4H,Manitoba,2611
R4J,R4J,Manitoba,953
R4K,R4K,Manitoba,883
R4L,R4L,Manitoba,1219
R5A,R5A,Manitoba,3408
R5G,R5G,Manitoba,21738
R5H,R5H,Manitoba,5839
R6M,R6M,Manitoba,10229
R6W,R6W,Manitoba,20229
R7A,R7A,Manitoba,29405
R7B,R7B,Manitoba,20977
R7C,R7C,Manitoba,2448
R7N,R7N,Manitoba,10321
R8A,R8A,Manitoba,5300
R8N,R8N,Manitoba,13848
R9A,R9A,Manitoba,6673
S0A,S0A,Saskatchewan,52641
S0C,S0C,Saskatchewan,23395
S0E,S0E,Saskatchewan,32755
S0G,S0G,Saskatchewan,63488
S0H,S0H,Saskatchewan,22746
S0J,S0J,Saskatchewan,49995
S0K,S0K,Saskatchewan,89853
S0L,S0L,Saskatchewan,30870
S0M,S0M,Saskatchewan,48321
S0N,S0N,Saskatchewan,21447
S0P,S0P,Saskatchewan,7249
S2V,S2V,Saskatchewan,865
S3N,S3N,Saskatchewan,18658
S4A,S4A,Saskatchewan,12481
S4H,S4H,Saskatchewan,11193
S4L,S4L,Saskatchewan,5646
S4M,S4M,Saskatchewan,153
S4N,S4N,Saskatchewan,31167
S4P,S4P,Saskatchewan,13423
S4R,S4R,Saskatchewan,35561
S4S,S4S,Saskatchewan,34958
S4T,S4T,Saskatchewan,31932
S4V,S4V,Saskatchewan,28386
S4W,S4W,Saskatchewan,8283
S4X,S4X,Saskatchewan,27895
S4Y,S4Y,Saskatchewan,4537
S4Z,S4Z,Saskatchewan,1200
S6H,S6H,Saskatchewan,27471
S6J,S6J,Saskatchewan,5317
S6K,S6K,Saskatchewan,1415
S6V,S6V,Saskatchewan,41092
S6W,S6W,Saskatchewan,141
S6X,S6X,Saskatchewan,2141
S7H,S7H,Saskatchewan,35686
S7J,S7J,Saskatchewan,31223
S7K,S7K,Saskatchewan,39174
S7L,S7L,Saskatchewan,39478
S7M,S7M,Saskatchewan,31112
S7N,S7N,Saskatchewan,27214
S7P,S7P,Saskatchewan,158
S7R,S7R,Saskatchewan,8056
S7S,S7S,Saskatchewan,5906
S7T,S7T,Saskatchewan,13202
S7V,S7V,Saskatchewan,10780
S7W,S7W,Saskatchewan,13625
S9A,S9A,Saskatchewan,15547
S9H,S9H,Saskatchewan,18070
S9V,S9V,Saskatchewan,14694
S9X,S9X,Saskatchewan,7798
T0A,T0A,Alberta,59234
T0B,T0B,Alberta,64072
T0C,T0C,Alberta,62701
T0E,T0E,Alberta,43729
T0G,T0G,Alberta,42905
T0H,T0H,Alberta,84336
T0J,T0J,Alberta,50783
T0K,T0K,Alberta,55487
T0L,T0L,Alberta,61161
T0M,T0M,Alberta,67484
T0P,T0P,Alberta,3631
T0V,T0V,Alberta,19
T1A,T1A,Alberta,25409
T1B,T1B,Alberta,32769
T1C,T1C,Alberta,9391
T1G,T1G,Alberta,10339
T1H,T1H,Alberta,27385
T1J,T1J,Alberta,22960
T1K,T1K,Alberta,45932
T1L,T1L,Alberta,7442
T1M,T1M,Alberta,9379
T1P,T1P,Alberta,16843
T1R,T1R,Alberta,17011
T1S,T1S,Alberta,32951
T1V,T1V,Alberta,15593
T1W,T1W,Alberta,14755
T1X,T1X,Alberta,22496
T1Y,T1Y,Alberta,57237
T1Z,T1Z,Alberta,639
T2A,T2A,Alberta,59641
T2B,T2B,Alberta,23418
T2C,T2C,Alberta,20406
T2E,T2E,Alberta,34729
T2G,T2G,Alberta,14370
T2H,T2H,Alberta,9372
T2J,T2J,Alberta,46394
T2K,T2K,Alberta,35544
T2L,T2L,Alberta,14214
T2M,T2M,Alberta,21086
T2N,T2N,Alberta,26342
T2P,T2P,Alberta,13056
T2R,T2R,Alberta,13879
T2S,T2S,Alberta,14637
T2T,T2T,Alberta,29706
T2V,T2V,Alberta,33450
T2W,T2W,Alberta,42377
T2X,T2X,Alberta,43339
T2Y,T2Y,Alberta,61344
T2Z,T2Z,Alberta,68438
T3A,T3A,Alberta,53224
T3B,T3B,Alberta,37348
T3C,T3C,Alberta,23519
T3E,T3E,Alberta,41415
T3G,T3G,Alberta,59025
T3H,T3H,Alberta,71251
T3J,T3J,Alberta,77605
T3K,T3K,Alberta,80792
T3L,T3L,Alberta,30168
T3M,T3M,Alberta,40268
T3N,T3N,Alberta,12483
T3P,T3P,Alberta,15578
T3R,T3R,Alberta,23866
T3S,T3S,Alberta,303
T3Z,T3Z,Alberta,11209
T4A,T4A,Alberta,16054
T4B,T4B,Alberta,48548
T4C,T4C,Alberta,30566
T4E,T4E,Alberta,2252
T4G,T4G,Alberta,12696
T4H,T4H,Alberta,12316
T4J,T4J,Alberta,11373
T4L,T4L,Alberta,17128
T4M,T4M,Alberta,4742
T4N,T4N,Alberta,33829
T4P,T4P,Alberta,32478
T4R,T4R,Alberta,36570
T4S,T4S,Alberta,20374
T4T,T4T,Alberta,13389
T4V,T4V,Alberta,20843
T4X,T4X,Alberta,20715
T5A,T5A,Alberta,35049
T5B,T5B,Alberta,15746
T5C,T5C,Alberta,16192
T5E,T5E,Alberta,32242
T5G,T5G,Alberta,12793
T5H,T5H,Alberta,26290
T5J,T5J,Alberta,5281
T5K,T5K,Alberta,22814
T5L,T5L,Alberta,17124
T5M,T5M,Alberta,15261
T5N,T5N,Alberta,14579
T5P,T5P,Alberta,21557
T5R,T5R,Alberta,25867
T5S,T5S,Alberta,4843
T5T,T5T,Alberta,69914
T5V,T5V,Alberta,146
T5W,T5W,Alberta,20652
T5X,T5X,Alberta,41912
T5Y,T5Y,Alberta,45947
T5Z,T5Z,Alberta,30715
T6A,T6A,Alberta,14767
T6B,T6B,Alberta,9503
T6C,T6C,Alberta,20587
T6E,T6E,Alberta,22674
T6G,T6G,Alberta,12634
T6H,T6H,Alberta,30171
T6J,T6J,Alberta,47109
T6K,T6K,Alberta,29838
T6L,T6L,Alberta,51562
T6M,T6M,Alberta,28187
T6N,T6N,Alberta,25
T6P,T6P,Alberta,1798
T6R,T6R,Alberta,45145
T6S,T6S,Alberta,96
T6T,T6T,Alberta,37150
T6V,T6V,Alberta,19927
T6W,T6W,Alberta,50904
T6X,T6X,Alberta,35649
T7A,T7A,Alberta,11756
T7E,T7E,Alberta,13989
T7N,T7N,Alberta,7795
T7P,T7P,Alberta,7536
T7S,T7S,Alberta,12691
T7V,T7V,Alberta,10575
T7X,T7X,Alberta,44071
T7Y,T7Y,Alberta,6891
T7Z,T7Z,Alberta,26014
T8A,T8A,Alberta,43987
T8B,T8B,Alberta,6440
T8C,T8C,Alberta,4502
T8E,T8E,Alberta,8104
T8G,T8G,Alberta,4848
T8H,T8H,Alberta,28688
T8L,T8L,Alberta,26423
T8N,T8N,Alberta,65527
T8R,T8R,Alberta,15088
T8S,T8S,Alberta,8007
T8T,T8T,Alberta,7037
T8V,T8V,Alberta,31893
T8W,T8W,Alberta,21466
T8X,T8X,Alberta,19287
T9A,T9A,Alberta,15660
T9C,T9C,Alberta,6831
T9E,T9E,Alberta,31710
T9G,T9G,Alberta,7159
T9H,T9H,Alberta,26732
T9J,T9J,Alberta,3630
T9K,T9K,Alberta,39305
T9M,T9M,Alberta,18253
T9N,T9N,Alberta,9082
T9S,T9S,Alberta,6898
T9V,T9V,Alberta,20959
T9W,T9W,Alberta,8062
T9X,T9X,Alberta,5841
V0A,V0A,British Columbia,13920
V0B,V0B,British Columbia,33080
V0C,V0C,British Columbia,28830
V0E,V0E,British Columbia,65606
V0G,V0G,British Columbia,26047
V0H,V0H,British Columbia,53380
V0J,V0J,British Columbia,52919
V0K,V0K,British Columbia,32908
V0L,V0L,British Columbia,4577
V0M,V0M,British Columbia,11761
V0N,V0N,British Columbia,79501
V0P,V0P,British Columbia,6726
V0R,V0R,British Columbia,66795
V0S,V0S,British Columbia,266
V0T,V0T,British Columbia,8645
V0V,V0V,British Columbia,2033
V0W,V0W,British Columbia,557
V0X,V0X,British Columbia,20629
V1A,V1A,British Columbia,8414
V1B,V1B,British Columbia,21395
V1C,V1C,British Columbia,25413
V1E,V1E,British Columbia,19344
V1G,V1G,British Columbia,15676
V1H,V1H,British Columbia,13427
V1J,V1J,British Columbia,23782
V1K,V1K,British Columbia,9265
V1L,V1L,British Columbia,16801
V1M,V1M,British Columbia,31176
V1N,V1N,British Columbia,12546
V1P,V1P,British Columbia,8028
V1R,V1R,British Columbia,10021
V1S,V1S,British Columbia,11279
V1T,V1T,British Columbia,27997
V1V,V1V,British Columbia,21155
V1W,V1W,British Columbia,34573
V1X,V1X,British Columbia,33273
V1Y,V1Y,British Columbia,34310
V1Z,V1Z,British Columbia,14368
V2A,V2A,British Columbia,37469
V2B,V2B,British Columbia,39843
V2C,V2C,British Columbia,23661
V2E,V2E,British Columbia,14672
V2G,V2G,British Columbia,17970
V2H,V2H,British Columbia,6201
V2J,V2J,British Columbia,22667
V2K,V2K,British Columbia,20924
V2L,V2L,British Columbia,9947
V2M,V2M,British Columbia,23318
V2N,V2N,British Columbia,32137
V2P,V2P,British Columbia,36329
V2R,V2R,British Columbia,48608
V2S,V2S,British Columbia,48647
V2T,V2T,British Columbia,56111
V2V,V2V,British Columbia,33534
V2W,V2W,British Columbia,19022
V2X,V2X,British Columbia,47944
V2Y,V2Y,British Columbia,35222
V2Z,V2Z,British Columbia,15520
V3A,V3A,British Columbia,42397
V3B,V3B,British Columbia,56524
V3C,V3C,British Columbia,38818
V3E,V3E,British Columbia,39365
V3G,V3G,British Columbia,24150
V3H,V3H,British Columbia,37222
V3J,V3J,British Columbia,40921
V3K,V3K,British Columbia,30495
V3L,V3L,British Columbia,27724
V3M,V3M,British Columbia,43423
V3N,V3N,British Columbia,39354
V3R,V3R,British Columbia,57844
V3S,V3S,British Columbia,95349
V3T,V3T,British Columbia,38549
V3V,V3V,British Columbia,48927
V3W,V3W,British Columbia,92447
V3X,V3X,British Columbia,28510
V3Y,V3Y,British Columbia,18861
V3Z,V3Z,British Columbia,29265
V4A,V4A,British Columbia,36390
V4B,V4B,British Columbia,19952
V4C,V4C,British Columbia,44169
V4E,V4E,British Columbia,11839
V4G,V4G,British Columbia,86
V4K,V4K,British Columbia,24414
V4L,V4L,British Columbia,7893
V4M,V4M,British Columbia,14512
V4N,V4N,British Columbia,78675
V4P,V4P,British Columbia,12224
V4R,V4R,British Columbia,15285
V4S,V4S,British Columbia,7326
V4T,V4T,British Columbia,27996
V4V,V4V,British Columbia,14614
V4W,V4W,British Columbia,19443
V4X,V4X,British Columbia,12774
V4Z,V4Z,British Columbia,4851
V5A,V5A,British Columbia,23960
V5B,V5B,British Columbia,22454
V5C,V5C,British Columbia,30408
V5E,V5E,British Columbia,26272
V5G,V5G,British Columbia,19862
V5H,V5H,British Columbia,38845
V5J,V5J,British Columbia,21918
V5K,V5K,British Columbia,23016
V5L,V5L,British Columbia,19720
V5M,V5M,British Columbia,23053
V5N,V5N,British Columbia,35045
V5P,V5P,British Columbia,31920
V5R,V5R,British Columbia,46565
V5S,V5S,British Columbia,28773
V5T,V5T,British Columbia,23911
V5V,V5V,British Columbia,24560
V5W,V5W,British Columbia,19706
V5X,V5X,British Columbia,28820
V5Y,V5Y,British Columbia,17201
V5Z,V5Z,British Columbia,22547
V6A,V6A,British Columbia,18719
V6B,V6B,British Columbia,29376
V6C,V6C,British Columbia,2554
V6E,V6E,British Columbia,26907
V6G,V6G,British Columbia,27198
V6H,V6H,British Columbia,17848
V6J,V6J,British Columbia,22188
V6K,V6K,British Columbia,26424
V6L,V6L,British Columbia,10479
V6M,V6M,British Columbia,16348
V6N,V6N,British Columbia,14057
V6P,V6P,British Columbia,30697
V6R,V6R,British Columbia,19416
V6S,V6S,British Columbia,12152
V6T,V6T,British Columbia,12722
V6V,V6V,British Columbia,11177
V6W,V6W,British Columbia,1628
V6X,V6X,British Columbia,33695
V6Y,V6Y,British Columbia,47768
V6Z,V6Z,British Columbia,17832
V7A,V7A,British Columbia,26618
V7B,V7B,British Columbia,814
V7C,V7C,British Columbia,39252
V7E,V7E,British Columbia,37357
V7G,V7G,British Columbia,11673
V7H,V7H,British Columbia,13232
V7J,V7J,British Columbia,16743
V7K,V7K,British Columbia,12391
V7L,V7L,British Columbia,26608
V7M,V7M,British Columbia,20181
V7N,V7N,British Columbia,14883
V7P,V7P,British Columbia,13034
V7R,V7R,British Columbia,14770
V7S,V7S,British Columbia,10521
V7T,V7T,British Columbia,9274
V7V,V7V,British Columbia,14952
V7W,V7W,British Columbia,8611
V7X,V7X,British Columbia,0
V7Y,V7Y,British Columbia,5
V8A,V8A,British Columbia,18135
V8B,V8B,British Columbia,11772
V8C,V8C,British Columbia,8131
V8G,V8G,British Columbia,19144
V8J,V8J,British Columbia,12275
V8K,V8K,British Columbia,10561
V8L,V8L,British Columbia,23422
V8M,V8M,British Columbia,16168
V8N,V8N,British Columbia,25065
V8P,V8P,British Columbia,18167
V8R,V8R,British Columbia,23572
V8S,V8S,British Columbia,17102
V8T,V8T,British Columbia,20136
V8V,V8V,British Columbia,25892
V8W,V8W,British Columbia,5201
V8X,V8X,British Columbia,23811
V8Y,V8Y,British Columbia,9830
V8Z,V8Z,British Columbia,31079
V9A,V9A,British Columbia,38699
V9B,V9B,British Columbia,44244
V9C,V9C,British Columbia,22785
V9E,V9E,British Columbia,5155
V9G,V9G,British Columbia,14772
V9H,V9H,British Columbia,9304
V9J,V9J,British Columbia,8715
V9K,V9K,British Columbia,15654
V9L,V9L,British Columbia,34378
V9M,V9M,British Columbia,17208
V9N,V9N,British Columbia,30080
V9P,V9P,British Columbia,25359
V9R,V9R,British Columbia,28376
V9S,V9S,British Columbia,16641
V9T,V9T,British Columbia,33103
V9V,V9V,British Columbia,10934
V9W,V9W,British Columbia,28743
V9X,V9X,British Columbia,10300
V9Y,V9Y,British Columbia,25269
V9Z,V9Z,British Columbia,17456
X0A,X0A,Nunavut/Northwest Territories,18958
X0B,X0B,Nunavut/Northwest Territories,6543
X0C,X0C,Nunavut/Northwest Territories,10443
X0E,X0E,Nunavut/Northwest Territories,21232
X0G,X0G,Nunavut/Northwest Territories,500
X1A,X1A,Nunavut/Northwest Territories,20054
Y0A,Y0A,Yukon,1641
Y0B,Y0B,Yukon,6561
Y1A,Y1A,Yukon,27672
,,,
Note:,,,
"Incompletely enumerated Indian reserves and Indian settlements, 2016",T = excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,
"For further information, refer to: http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/pd-pl/About.cfm.",,,
,,,
"Source: Statistics Canada, 2016 Census of Population.",,,
"How to cite: Statistics Canada. 2017. Population and dwelling counts, for Canada and forward sortation areas© as reported by the respondents, 2016 Census (table). Population and Dwelling Count Highlight Tables. 2016 Census.",,,
"Statistics Canada Catalogue no. 98-402-X2016001. Ottawa. Released February 8, 2017.",,,
